Wavelength (nm),Intensity (a.u.),Z Axis,
,CG_E0,CG_E0,CG_E5,CG_10,CG_20,CG_E21\,CG_E30,CG_E31,CG1w,CG1wkb
,1,2,3,4,5,6,7,8,9,10
510,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
511.059997558594,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
511.959991455078,887.4130859375,880.900085449219,976.64990234375,862.212646484375,1000,1000,884.752136230469,874.665588378906,448.283874511719,442.086517333984
513.030029296875,376.049224853516,372.965240478516,400.753845214844,364.770446777344,1000,1000,355.357971191406,354.529113769531,149.96110534668,149.016738891602
513.929992675781,248.70849609375,251.182250976562,251.945190429687,237.587249755859,1000,1000,226.084777832031,227.231323242187,53.4989051818848,51.470157623291
515,233.050033569336,232.200302124023,227.015106201172,218.349594116211,956.284790039063,955.701232910156,206.209259033203,209.856018066406,26.8166694641113,26.72021484375
516.059997558594,240.334213256836,241.815536499023,234.514190673828,229.565246582031,853.89892578125,852.756896972656,215.666259765625,211.922393798828,22.3312225341797,20.6633815765381
516.960021972656,256.819305419922,257.492279052734,248.39762878418,240.591415405273,840.425415039063,831.057800292969,228.900009155273,228.40983581543,19.8695411682129,20.2697143554687
518.030029296875,274.079864501953,271.53662109375,261.565673828125,252.717132568359,840.746765136719,839.802429199219,243.058013916016,239.241653442383,18.8082466125488,19.3464984893799
518.929992675781,287.109558105469,285.8876953125,277.646026611328,270.350128173828,851.596740722656,847.173034667969,254.841232299805,251.326263427734,18.8503513336182,18.8122806549072
520,303.380126953125,304.334625244141,289.693267822266,283.271148681641,855.138061523437,856.718688964844,268.171447753906,266.341949462891,17.6971378326416,17.4614582061768
521.039978027344,314.217254638672,317.404632568359,305.457244873047,298.920501708984,858.85498046875,864.797302246094,280.936431884766,277.189636230469,16.7738151550293,16.084451675415
521.940002441406,327.409088134766,329.12255859375,312.477416992188,309.309112548828,861.58251953125,866.243896484375,291.812927246094,289.676696777344,16.1341743469238,16.4596786499023
522.97998046875,344.832580566406,340.41943359375,327.651306152344,320.563049316406,869.147033691406,877.661071777344,300.841461181641,298.012390136719,16.6633834838867,16.9378852844238
524.02001953125,353.074890136719,351.789489746094,339.721923828125,331.3349609375,883.666687011719,884.696655273437,308.294586181641,313.386810302734,15.9813709259033,16.6513786315918
525.070007324219,366.790191650391,365.625091552734,352.279846191406,344.828918457031,902.106994628906,900.819946289063,318.564025878906,319.061218261719,16.2940120697021,17.1580619812012
525.969970703125,374.483673095703,372.024597167969,361.456268310547,352.419250488281,922.820678710937,928.462036132813,328.407958984375,328.884521484375,17.4119987487793,16.9266471862793
527.010009765625,381.212280273438,379.648498535156,367.041656494141,362.140502929687,939.514343261719,942.095886230469,334.771789550781,334.090637207031,17.377986907959,18.0072135925293
528.049987792969,387.251983642578,381.422760009766,372.986572265625,365.054565429687,960.928161621094,960.986267089844,340.552276611328,336.042297363281,16.2015838623047,17.2903003692627
528.950012207031,390.166870117188,388.858428955078,375.217193603516,361.926422119141,961.996887207031,964.658386230469,344.878295898438,338.75830078125,16.7566051483154,16.7795028686523
530,389.578582763672,384.280975341797,377.031982421875,364.303527832031,952.426330566406,953.432312011719,340.381591796875,342.775085449219,16.0594215393066,16.0178546905518
531.02001953125,389.278228759766,384.100189208984,372.373596191406,366.082702636719,928.298583984375,938.303466796875,343.116943359375,337.610229492188,14.9411201477051,15.4329442977905
532.049987792969,388.319305419922,383.813507080078,369.518920898438,365.590026855469,910.392272949219,909.191528320312,338.504577636719,340.290222167969,13.6758422851562,15.2544889450073
532.940002441406,382.174377441406,379.902679443359,368.313171386719,360.211730957031,890.963439941406,894.2041015625,335.715728759766,334.308563232422,14.1635971069336,13.5594491958618
533.969970703125,376.664306640625,378.414855957031,367.939422607422,357.131927490234,872.04541015625,874.365173339844,327.478820800781,333.530090332031,14.3731279373169,13.9797658920288
535,374.005157470703,369.931854248047,354.756317138672,350.134643554687,856.824584960937,856.648193359375,328.546752929687,322.328979492188,13.1465473175049,13.2779169082642
536.02001953125,366.398345947266,364.708557128906,352.088287353516,345.058990478516,834.357055664062,830.889099121094,321.843475341797,321.514007568359,12.5545816421509,12.8012628555298
537.049987792969,359.770812988281,356.548400878906,343.887451171875,335.341766357422,812.186889648438,812.215148925781,315.499664306641,316.618896484375,12.1443071365356,11.8142061233521
537.940002441406,353.128936767578,354.243682861328,337.276275634766,330.114532470703,786.69921875,788.423889160156,309.715057373047,308.007293701172,11.7238159179688,11.6674957275391
538.969970703125,344.847290039063,342.6240234375,329.379180908203,325.746704101562,778.043640136719,770.215454101562,302.494720458984,300.519073486328,11.7030382156372,11.4872980117798
540,335.737243652344,332.025238037109,320.116180419922,316.464385986328,759.889587402344,755.583374023437,295.141967773438,292.4228515625,11.0023326873779,11.5485610961914
541.039978027344,328.0244140625,325.330322265625,310.331665039063,307.740875244141,744.074340820312,741.694519042969,287.453002929687,284.711761474609,10.9934511184692,11.3800029754639
541.940002441406,319.855499267578,318.610107421875,305.361236572266,303.93798828125,718.408935546875,718.170959472656,282.254425048828,274.972686767578,10.7224807739258,10.4922046661377
542.97998046875,311.142822265625,309.619445800781,297.462158203125,290.612915039063,693.902770996094,698.532592773437,272.192474365234,271.881622314453,10.2086696624756,10.7021703720093
544.02001953125,299.816192626953,299.047058105469,287.240447998047,282.866821289062,676.609741210937,674.981872558594,262.64697265625,264.651702880859,9.73237133026123,9.43707942962647
545.070007324219,292.100311279297,288.068634033203,279.652099609375,272.245391845703,645.625183105469,650.206909179688,255.659286499023,255.892990112305,9.06907081604004,8.71999263763428
545.969970703125,281.260437011719,282.691040039062,270.077423095703,265.942687988281,626.681579589844,622.51318359375,247.386138916016,245.70442199707,8.34858131408691,8.78334426879883
547.010009765625,275.371429443359,274.900421142578,260.588714599609,254.150543212891,602.160766601562,601.617919921875,240.957504272461,238.598648071289,8.70145416259766,8.51724624633789
548.049987792969,265.298461914062,263.737457275391,251.952911376953,248.151031494141,579.583068847656,581.924011230469,234.817276000977,232.155197143555,7.89604234695435,7.95201587677002
548.950012207031,256.124206542969,255.894271850586,245.173614501953,240.737030029297,557.980529785156,559.558654785156,224.544204711914,223.176177978516,7.28094387054443,7.66657495498657
550,249.971252441406,245.617309570313,236.701446533203,231.514068603516,539.6044921875,532.238525390625,218.941680908203,215.671981811523,7.63171195983887,7.24726581573486
551.039978027344,238.237030029297,236.795822143555,227.298324584961,224.537475585938,515.985778808594,520.153015136719,207.572082519531,206.129745483398,6.86800289154053,7.20115327835083
551.940002441406,229.347045898438,229.710067749023,219.622512817383,216.772552490234,494.544647216797,494.98486328125,204.294143676758,201.003143310547,6.61191749572754,7.06618070602417
552.97998046875,224.909118652344,222.15641784668,210.744430541992,208.417098999023,478.754730224609,483.730621337891,195.506378173828,194.990203857422,6.22380876541138,6.42315912246704
554.02001953125,217.624252319336,212.046478271484,205.857116699219,200.450927734375,463.131713867188,467.407592773438,187.527130126953,187.766998291016,6.56351852416992,6.58307361602783
555.070007324219,206.144500732422,206.853118896484,195.60221862793,194.490158081055,445.243896484375,443.535400390625,182.034332275391,182.805358886719,5.70747661590576,6.12712907791138
555.969970703125,200.860305786133,200.388153076172,191.414749145508,186.963134765625,430.938415527344,427.106628417969,172.726898193359,174.864318847656,5.85256862640381,6.08762454986572
557.010009765625,192.771133422852,193.420013427734,185.99674987793,177.989852905273,411.650573730469,409.438903808594,167.154541015625,169.886138916016,5.70960903167725,5.36461305618286
558.049987792969,187.286544799805,186.609222412109,177.719100952148,176.764389038086,398.185638427734,400.883361816406,162.684921264648,162.80256652832,5.31676149368286,5.80801725387573
558.950012207031,179.280242919922,178.521728515625,172.971435546875,168.70930480957,386.41259765625,384.786682128906,155.963897705078,159.465194702148,4.8782229423523,5.49022579193115
