MG_E10,
Wavelength (nm),Intensity (a.u.)
510,1000
511.0599976,1000
511.9599915,946.8334961
513.0300293,482.2460632
513.9299927,378.1555176
515,376.4449768
516.0599976,400.7328796
516.960022,430.1461487
518.0300293,459.5211182
518.9299927,491.8881226
520,514.6524048
521.039978,537.9492798
521.9400024,555.5766602
522.9799805,584.4570313
524.0200195,603.3560181
525.0700073,622.3947144
525.9699707,638.4404907
527.0100098,652.7322998
528.0499878,661.8659668
528.9500122,664.1630859
530,674.1264648
531.0200195,668.3900757
532.0499878,666.0579834
532.9400024,661.7607422
533.9699707,657.2755127
535,647.5151367
536.0200195,631.9188843
537.0499878,623.2077026
537.9400024,606.9694214
538.9699707,594.6450806
540,587.3984985
541.039978,570.128479
541.9400024,560.2017212
542.9799805,539.7559204
544.0200195,527.3944702
545.0700073,506.1787415
545.9699707,491.5034485
547.0100098,475.8954163
548.0499878,458.5723877
548.9500122,448.1616821
550,435.8050232
551.039978,410.7570801
551.9400024,402.2614441
552.9799805,384.5429688
554.0200195,372.9880371
555.0700073,357.3500061
555.9699707,349.0617371
557.0100098,334.4740906
558.0499878,322.2861633
558.9500122,317.4715576
560,303.759552
561.0200195,293.1791077
562.0499878,282.5910645
562.9400024,274.381897
563.9699707,265.9422607
565,257.8435974
566.0200195,248.8970947
567.0499878,244.2631989
567.9400024,238.1315002
568.9699707,228.6886292
570,221.4506683
571.0200195,217.7353668
572.0499878,209.658432
572.9400024,206.1852264
573.9699707,197.4430847
575,190.2745667
576.0200195,185.0970917
577.0499878,178.4480896
577.9400024,174.1799316
578.9699707,167.4319611
580,161.2932587
581.0200195,156.5209198
582.0499878,150.6245728
582.9400024,142.8567963
583.9699707,136.7142029
585,132.1743622
586.0200195,128.6673431
587.0499878,124.5231094
587.9400024,118.2007675
588.9699707,114.499855
590,108.9866943
591.0200195,103.9098663
592.0499878,101.0143051
592.9400024,98.31095886
593.9699707,94.96071625
595,90.33252716
596.0200195,86.34519196
597.0499878,83.37115479
597.9400024,80.77040863
598.9699707,77.89283752
600,74.79508972
