MG1wk,
Wavelength (nm),Intensity (a.u.)
510,1000
511.0599976,1000
511.9599915,863.6052856
513.0300293,379.65979
513.9299927,263.0698853
515,249.0534058
516.0599976,256.2380066
516.960022,274.5919189
518.0300293,290.1331177
518.9299927,303.8235474
520,325.9210815
521.039978,338.7782288
521.9400024,351.9971008
522.9799805,365.4564209
524.0200195,381.8612061
525.0700073,396.708313
525.9699707,405.0760193
527.0100098,412.0214539
528.0499878,420.8764648
528.9500122,419.388092
530,420.0447083
531.0200195,418.2676392
532.0499878,417.3229065
532.9400024,414.1168213
533.9699707,408.9460449
535,404.174469
536.0200195,396.1015625
537.0499878,388.1965332
537.9400024,379.9935303
538.9699707,376.1091614
540,365.4710083
541.039978,350.5588074
541.9400024,344.3542175
542.9799805,338.1447144
544.0200195,324.9898987
545.0700073,317.6680298
545.9699707,305.8106995
547.0100098,297.9259644
548.0499878,285.8272705
548.9500122,275.7776794
550,264.6112976
551.039978,259.1888123
551.9400024,246.8559875
552.9799805,237.5067902
554.0200195,232.9793549
555.0700073,221.7172394
555.9699707,216.6071472
557.0100098,206.2701263
558.0499878,200.8886414
558.9500122,197.0827942
560,189.4581604
561.0200195,182.6408234
562.0499878,176.1650238
562.9400024,171.4341888
563.9699707,163.3496094
565,160.2791595
566.0200195,154.9436035
567.0499878,150.962738
567.9400024,144.723053
568.9699707,142.078476
570,140.0372162
571.0200195,131.6002197
572.0499878,130.3715363
572.9400024,128.1587982
573.9699707,123.1027069
575,119.1043549
576.0200195,115.9618073
577.0499878,110.2454987
577.9400024,108.3735123
578.9699707,104.0396957
580,99.72533417
581.0200195,96.14709473
582.0499878,93.82793427
582.9400024,89.50284576
583.9699707,87.20854187
585,83.02607727
586.0200195,79.47823334
587.0499878,76.51329803
587.9400024,74.32410431
588.9699707,69.69371796
590,67.90019989
591.0200195,67.35951996
592.0499878,62.99829483
592.9400024,61.97999573
593.9699707,57.76530838
595,57.22753143
596.0200195,53.50582886
597.0499878,51.53113937
597.9400024,51.59783173
598.9699707,49.09029007
600,47.81752777
